liquidity_pool_address,token_pair,fee_tier_bps,protocol_fee_assigned,meets_vol_cut,meets_lp_fees_cut,meets_marketshare_cut,L60d_volume_usd,volume_rank,L60d_lp_fees_usd,lp_fees_rank,uniswap_marketshare,unique_key,annualized_revenue_contribution
0x51c2e82b1d0815eda5f21d63795a77774e988e50,TRU-USDT,30.0,0.166666,no,yes,yes,1956684.9006778065,226,5870.054702033418,289,1.0,0xdac17f958d2ee523a2206206994597c13d831ec7-0xdae0fafd65385e7775cf75b1398735155ef6acd2,5951.559433228702
0x489cebe6cd5dc5dcb7047a1f0d4f358a5d2fb295,IOTX-WETH,30.0,0.166666,no,yes,yes,2052377.223802165,227,6157.131671406498,290,1.0,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6242.6224184753655
0x489cebe6cd5dc5dcb7047a1f0d4f358a5d2fb295,IOTX-WETH,30.0,0.166666,no,yes,yes,1978851.0482210196,227,5936.553144663051,290,1.0,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6018.981195651173
0xdf12f1c62b24eb92302d89d96c343b90f77a67a2,BTOG-WETH,100.0,0.166666,no,yes,yes,610490.9955973848,418,6104.909955973849,291,1.0,0x696e2fce2e2b911568ccf576c72e195da42a0bed-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6189.675613227552
0xdf12f1c62b24eb92302d89d96c343b90f77a67a2,BTOG-WETH,100.0,0.166666,no,yes,yes,588659.6071995231,418,5886.596071995233,291,1.0,0x696e2fce2e2b911568ccf576c72e195da42a0bed-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5968.330477355541
0x89bf2caee181c5266d9a3b3a800009a67174374f,PEPEUSD-USDC,100.0,0.166666,no,yes,yes,613226.8368765472,420,6132.26836876547,293,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xed7fd16423bc19b9143313ac5e4b7f731d714e97,6217.41389302105
0x89bf2caee181c5266d9a3b3a800009a67174374f,PEPEUSD-USDC,100.0,0.166666,no,yes,yes,576994.8750472495,420,5769.948750472496,293,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xed7fd16423bc19b9143313ac5e4b7f731d714e97,5850.063527214681
0xe061b362aa157a5037b225570cff9ebf1d657929,L3-WETH,100.0,0.166666,no,yes,yes,620459.3564421266,421,6204.5935644212595,294,1.0,0x88909d489678dd17aa6d9609f89b0419bf78fd9a-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6290.743311964322
0xe061b362aa157a5037b225570cff9ebf1d657929,L3-WETH,100.0,0.166666,no,yes,yes,554800.3543980417,421,5548.003543980419,294,1.0,0x88909d489678dd17aa6d9609f89b0419bf78fd9a-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5625.03664852133
0x561599fff95a3104a43025dddf277332fe5ece2a,CTA-WETH,30.0,0.166666,no,yes,yes,1960995.1495599581,230,5882.985448679875,295,1.0,0x90685e300a4c4532efcefe91202dfe1dfd572f47-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5964.669721137221
0x561599fff95a3104a43025dddf277332fe5ece2a,CTA-WETH,30.0,0.166666,no,yes,yes,1948258.1611536155,230,5844.774483460846,295,1.0,0x90685e300a4c4532efcefe91202dfe1dfd572f47-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5925.928203034619
0xa8e780d818ed009357bd4ee9b2dd70955bf81560,FASC-WETH,100.0,0.166666,no,yes,yes,594839.9548142976,423,5948.39954814297,296,1.0,0x8057f9530a9ea90dc0ca23e1c14da5933ebc4b2a-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6030.9920844690105
0xa8e780d818ed009357bd4ee9b2dd70955bf81560,FASC-WETH,100.0,0.166666,no,yes,yes,577371.7980884839,423,5773.717980884838,296,1.0,0x8057f9530a9ea90dc0ca23e1c14da5933ebc4b2a-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5853.885092763094
0x0a55882f4e1117adc54afbbac4a39079ad52fb89,SSV-WETH,30.0,0.166666,no,yes,yes,1962892.6157593005,234,5888.677847277908,297,0.9982759542692217,0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5970.441157741054
